simID	f0	f1	f2	f3	Na	Nc	Na_scaled	Nc_scaled	scaling_factor	model	Nfold	g_factor
sim1	10	55	10	25	5606	15621	5000	13932	1.1212	growth	2.79	1.0051237522003482
sim2	30	15	45	10	12220	9125	6696	5000	1.825	decline	-1.34	0.9985396378962347
sim3	30	20	20	30	39386	13666	14410	5000	2.7332	decline	-2.88	0.9947075775121134
sim4	0	25	20	55	21365	32132	5000	7520	4.273	growth	1.5	1.0020406411276381
sim5	40	45	0	15	31066	25842	6011	5000	5.1684	decline	-1.2	0.9990792339418854
sim6	15	0	30	55	35315	8322	21218	5000	1.6644	decline	-4.24	0.9927729401719851
sim7	5	10	45	40	15923	15329	5194	5000	3.0658	decline	-1.04	0.9998096689959677
sim8	0	65	0	35	26251	5813	22580	5000	1.1626	decline	-4.52	0.992461866768563
sim9	40	35	20	5	47727	6317	37777	5000	1.2634	decline	-7.56	0.9898886873030367
sim10	60	25	0	15	26249	28883	5000	5502	5.2498	growth	1.1	1.0004783687503414
sim11	30	40	5	25	19927	10129	9837	5000	2.0258	decline	-1.97	0.9966164356295174
sim12	20	30	40	10	10992	20096	5000	9141	2.1984	growth	1.83	1.003016659381188
sim13	10	75	5	10	49418	42071	5873	5000	8.4142	decline	-1.17	0.9991953616794685
sim14	45	30	10	15	40390	21080	9580	5000	4.216	decline	-1.92	0.9967488016022567
sim15	30	5	45	20	5108	28245	5000	27648	1.0216	growth	5.53	1.0085505774009378
sim16	25	0	70	5	8088	42124	5000	26041	1.6176	growth	5.21	1.0082511715331333
sim17	10	20	10	60	9802	35050	5000	17879	1.9604	growth	3.58	1.006370944636678
sim18	15	20	50	15	14360	49287	5000	17161	2.872	growth	3.43	1.0061660072749303
sim19	10	15	55	20	18442	18786	5000	5093	3.6884	growth	1.02	1.0000921456773417
sim20	25	0	65	10	45021	10064	22367	5000	2.0128	decline	-4.47	0.9925092562705299
sim21	20	20	0	60	19510	35791	5000	9172	3.902	growth	1.83	1.0030335872628078
sim22	25	65	5	5	9064	48792	5000	26915	1.8128	growth	5.38	1.0084162291978942
sim23	70	0	25	5	7997	6401	6247	5000	1.2802	decline	-1.25	0.9988866828196133
sim24	5	0	10	85	20738	7947	13048	5000	1.5894	decline	-2.61	0.9952040152355769
sim25	20	30	5	45	14650	5807	12614	5000	1.1614	decline	-2.52	0.9953731530209632
sim26	5	50	35	10	28700	8401	17081	5000	1.6802	decline	-3.42	0.9938573558888909
sim27	10	0	45	45	9667	9723	5000	5029	1.9334	growth	1.01	1.0000289162237785
sim28	45	10	40	5	27149	7320	18544	5000	1.464	decline	-3.71	0.9934464581291835
sim29	40	5	40	15	20896	39395	5000	9426	4.1792	growth	1.89	1.0031701695803372
sim30	20	80	0	0	18650	24771	5000	6641	3.73	growth	1.33	1.0014191232106224
sim31	20	55	20	5	44324	14827	14947	5000	2.9654	decline	-2.99	0.9945246365081521
sim32	35	0	15	50	6227	36498	5000	29306	1.2454	growth	5.86	1.0088417718039087
sim33	35	40	5	20	8235	11993	5000	7282	1.647	growth	1.46	1.0018798381865957
sim34	10	45	15	30	14470	21705	5000	7500	2.894	growth	1.5	1.0020273255405407
sim35	15	20	15	50	5660	36731	5000	32448	1.132	growth	6.49	1.009351004477673
sim36	15	15	50	20	28739	7557	19015	5000	1.5114	decline	-3.8	0.9933210488552694
sim37	40	25	35	0	21543	18749	5745	5000	3.7498	decline	-1.15	0.999305540005667
sim38	25	30	5	40	21023	6635	15843	5000	1.327	decline	-3.17	0.9942335507502059
sim39	60	30	5	5	49984	42636	5862	5000	8.5272	decline	-1.17	0.999204735350727
sim40	70	20	0	10	7522	7117	5285	5000	1.4234	decline	-1.06	0.9997228264655595
sim41	0	50	20	30	10593	9611	5511	5000	1.9222	decline	-1.1	0.999513459087665
sim42	15	50	0	35	14649	5283	13864	5000	1.0566	decline	-2.77	0.994900711800104
sim43	35	15	20	30	34204	17664	9682	5000	3.5328	decline	-1.94	0.996695847104583
sim44	0	90	10	0	6394	41444	5000	32409	1.2788	growth	6.48	1.0093449912478443
sim45	45	45	0	10	42666	10088	21147	5000	2.0176	decline	-4.23	0.9927896993048713
sim46	35	10	10	45	11370	49716	5000	21863	2.274	growth	4.37	1.0073767889893033
sim47	0	25	5	70	10698	6543	8175	5000	1.3086	decline	-1.64	0.9975417859782539
sim48	30	10	50	10	43279	17603	12293	5000	3.5206	decline	-2.46	0.9955020395887445
sim49	5	0	70	25	28407	12138	11702	5000	2.4276	decline	-2.34	0.9957483907253403
sim50	0	35	50	15	27105	6823	19863	5000	1.3646	decline	-3.97	0.9931028960391164
sim51	5	30	30	35	34127	6008	28401	5000	1.2016	decline	-5.68	0.9913150677830962
sim52	0	10	90	0	48676	5865	41497	5000	1.173	decline	-8.3	0.9894190838848353
sim53	5	50	25	20	9617	8461	5683	5000	1.6922	decline	-1.14	0.9993597932505955
sim54	5	5	40	50	30697	14084	10898	5000	2.8168	decline	-2.18	0.996104293131366
sim55	40	10	0	50	7924	39721	5000	25064	1.5848	growth	5.01	1.0080599732060789
